# list of considered genomes \\
# containing 4098 genomes of which 1307 were selected as representants of one genus \\
genus & phylum & fasta \\
Actinomyces & Actinobacteria & UP000004778\_525246.fasta \\
Actinomyces & Actinobacteria & UP000005351\_888056.fasta \\
Actinomyces & Actinobacteria & UP000006075\_888439.fasta \\
Actinomyces & Actinobacteria & UP000006252\_888052.fasta \\
Actinomyces & Actinobacteria & UP000010301\_525245.fasta \\
Actinomyces & Actinobacteria & UP000013015\_888050.fasta \\
Actinomyces & Actinobacteria & UP000029604\_1284680.fasta \\
Actinomyces & Actinobacteria & UP000035029\_1219581.fasta \\
Actinomyces & Actinobacteria & UP000061022\_712122.fasta \\
Actinomyces & Actinobacteria & UP000065220\_111015.fasta \\
Actinomyces & Actinobacteria & UP000176288\_1912795.fasta \\
Actinomyces & Actinobacteria & UP000176960\_1739479.fasta \\
Actinomyces & Actinobacteria & UP000181914\_52773.fasta \\
Actinomyces & Actinobacteria & UP000184291\_1892869.fasta \\
Actinomyces & Actinobacteria & UP000184390\_52767.fasta \\
Actinoplanes & Actinobacteria & UP000005440\_134676.fasta \\
Actinoplanes & Actinobacteria & UP000007882\_512565.fasta \\
Actinoplanes & Actinobacteria & UP000013541\_649831.fasta \\
Actinoplanes & Actinobacteria & UP000017746\_1246995.fasta \\
Actinoplanes & Actinobacteria & UP000053244\_135947.fasta \\
Actinoplanes & Actinobacteria & UP000054537\_1869.fasta \\
Actinopolyspora & Actinobacteria & UP000029737\_414996.fasta \\
Actinospica & Actinobacteria & UP000019485\_479430.fasta \\
Actinosynnema & Actinobacteria & UP000002213\_446462.fasta \\
Actinotalea & Actinobacteria & UP000019753\_948458.fasta \\
Actinotalea & Actinobacteria & UP000029877\_862422.fasta \\
Actinotignum & Actinobacteria & UP000035032\_59505.fasta \\
Adlercreutzia & Actinobacteria & UP000015924\_1384484.fasta \\
Advenella & Betaproteobacteria & UP000005267\_1036672.fasta \\
Advenella & Betaproteobacteria & UP000019095\_1247726.fasta \\
Aequorivita & Bacteroidetes & UP000006049\_746697.fasta \\
Aequorivita & Bacteroidetes & UP000184172\_797419.fasta \\
Aeribacillus & Firmicutes & UP000076476\_33936.fasta \\
Aerococcus & Firmicutes & UP000003764\_655812.fasta \\
Aerococcus & Firmicutes & UP000008129\_866775.fasta \\
Aerococcus & Firmicutes & UP000060400\_87541.fasta \\
Aerococcus & Firmicutes & UP000062260\_128944.fasta \\
Aerococcus & Firmicutes & UP000069912\_119206.fasta \\
Aeromicrobium & Actinobacteria & UP000003111\_585531.fasta \\
Aeromicrobium & Actinobacteria & UP000050971\_1736540.fasta \\
Aeromicrobium & Actinobacteria & UP000051640\_1736324.fasta \\
Aeromicrobium & Actinobacteria & UP000051702\_1736521.fasta \\
Aeromicrobium & Actinobacteria & UP000051970\_1736550.fasta \\
Aeromonas & Gammaproteobacteria & UP000000756\_380703.fasta \\
Aeromonas & Gammaproteobacteria & UP000023775\_1268237.fasta \\
Aestuariibacter & Gammaproteobacteria & UP000184520\_634436.fasta \\
Afipia & Alphaproteobacteria & UP000018975\_1429916.fasta \\
Afipia & Alphaproteobacteria & UP000051348\_1736436.fasta \\
Afipia & Alphaproteobacteria & UP000184213\_1895700.fasta \\
Agarivorans & Gammaproteobacteria & UP000014461\_1331007.fasta \\
Agathobacter & Firmicutes & UP000001477\_515619.fasta \\
Aggregatibacter & Gammaproteobacteria & UP000002569\_668336.fasta \\
Agreia & Actinobacteria & UP000032503\_110935.fasta \\
Agrobacterium & Alphaproteobacteria & UP000000813\_176299.fasta \\
Agrobacterium & Alphaproteobacteria & UP000001596\_311402.fasta \\
Agrobacterium & Alphaproteobacteria & UP000001600\_311403.fasta \\
Agrobacterium & Alphaproteobacteria & UP000007123\_1156935.fasta \\
Agrococcus & Actinobacteria & UP000016462\_1330458.fasta \\
Agromyces & Actinobacteria & UP000050813\_1735688.fasta \\
Agromyces & Actinobacteria & UP000051559\_1736467.fasta \\
Agromyces & Actinobacteria & UP000051793\_1736390.fasta \\
Ahrensia & Alphaproteobacteria & UP000003904\_744979.fasta \\
Ahrensia & Alphaproteobacteria & UP000038011\_1514904.fasta \\
Akkermansia & Verrucomicrobia & UP000001031\_349741.fasta \\
Akkermansia & Verrucomicrobia & UP000093101\_1679444.fasta \\
Alcaligenes & Betaproteobacteria & UP000016497\_1386079.fasta \\
Alcanivorax & Gammaproteobacteria & UP000006286\_930169.fasta \\
Alcanivorax & Gammaproteobacteria & UP000006764\_391936.fasta \\
Alcanivorax & Gammaproteobacteria & UP000008871\_393595.fasta \\
Alcanivorax & Gammaproteobacteria & UP000070259\_1795868.fasta \\
Algibacter & Bacteroidetes & UP000029644\_221126.fasta \\
Algibacter & Bacteroidetes & UP000057981\_1736674.fasta \\
Algibacter & Bacteroidetes & UP000095713\_1849968.fasta \\
Algoriphagus & Bacteroidetes & UP000003919\_388413.fasta \\
Algoriphagus & Bacteroidetes & UP000050421\_1305737.fasta \\
Algoriphagus & Bacteroidetes & UP000073816\_1727163.fasta \\
Algoriphagus & Bacteroidetes & UP000184609\_1073327.fasta \\
Alicycliphilus & Betaproteobacteria & UP000007938\_596154.fasta \\
Alicyclobacillus & Firmicutes & UP000001917\_521098.fasta \\
Alicyclobacillus & Firmicutes & UP000015607\_1356854.fasta \\
Alicyclobacillus & Firmicutes & UP000035011\_1200346.fasta \\
Alicyclobacillus & Firmicutes & UP000050482\_471514.fasta \\
Alicyclobacillus & Firmicutes & UP000177732\_1797236.fasta \\
Alicyclobacillus & Firmicutes & UP000184016\_1882406.fasta \\
Aliifodinibius & Balneolaceae & UP000184041\_1194090.fasta \\
Aliiglaciecola & Gammaproteobacteria & UP000006334\_1127673.fasta \\
Aliiroseovarius & Alphaproteobacteria & UP000050471\_154981.fasta \\
Alishewanella & Gammaproteobacteria & UP000035062\_1195246.fasta \\
Alistipes & Bacteroidetes & UP000006008\_742725.fasta \\
Alistipes & Bacteroidetes & UP000008794\_717959.fasta \\
Alistipes & Bacteroidetes & UP000017965\_1262695.fasta \\
Alistipes & Bacteroidetes & UP000018026\_1263036.fasta \\
Alistipes & Bacteroidetes & UP000018094\_1262698.fasta \\
Alistipes & Bacteroidetes & UP000018138\_1262694.fasta \\
Alistipes & Bacteroidetes & UP000018154\_1263035.fasta \\
Alistipes & Bacteroidetes & UP000018329\_1262693.fasta \\
Alistipes & Bacteroidetes & UP000018346\_1262692.fasta \\
Aliterella & Cyanobacteria & UP000032452\_1618023.fasta \\
Alkalibacterium & Firmicutes & UP000020164\_1229520.fasta \\
Alkalibacter & Firmicutes & UP000184251\_1120975.fasta \\
Alkalilimnicola & Gammaproteobacteria & UP000001962\_187272.fasta \\
Alkaliphilus & Firmicutes & UP000000269\_350688.fasta \\
Alkaliphilus & Firmicutes & UP000001572\_293826.fasta \\
Alloactinosynnema & Actinobacteria & UP000076116\_1653480.fasta \\
Allochromatium & Gammaproteobacteria & UP000001441\_572477.fasta \\
Alloiococcus & Firmicutes & UP000009875\_883081.fasta \\
Allokutzneria & Actinobacteria & UP000183376\_211114.fasta \\
Alloprevotella & Bacteroidetes & UP000003460\_626522.fasta \\
Alloprevotella & Bacteroidetes & UP000015993\_679199.fasta \\
Alloscardovia & Actinobacteria & UP000016519\_1321816.fasta \\
