alignment model score count replica lf domain
NWSn natural 170 34 0 100 0
NWSn natural 180 62 0 100 0
NWSn natural 190 72 0 100 0
NWSn natural 200 644 0 100 0
NWSn natural 210 255 0 100 0
NWSn natural 220 316 0 100 0
NWSn natural 230 447 0 100 0
NWSn natural 240 594 0 100 0
NWSn natural 250 783 0 100 0
NWSn natural 260 1059 0 100 0
NWSn natural 270 1412 0 100 0
NWSn natural 280 2164 0 100 0
NWSn natural 290 2321 0 100 0
NWSn natural 300 14706 0 100 0
NWSn natural 310 6013 0 100 0
NWSn natural 320 6903 0 100 0
NWSn natural 330 9111 0 100 0
NWSn natural 340 10930 0 100 0
NWSn natural 350 14815 0 100 0
NWSn natural 360 18501 0 100 0
NWSn natural 370 22507 0 100 0
NWSn natural 380 32104 0 100 0
NWSn natural 390 33046 0 100 0
NWSn natural 400 150937 0 100 0
NWSn natural 410 58360 0 100 0
NWSn natural 420 64522 0 100 0
NWSn natural 430 82506 0 100 0
NWSn natural 440 92694 0 100 0
NWSn natural 450 116977 0 100 0
NWSn natural 460 136797 0 100 0
NWSn natural 470 160923 0 100 0
NWSn natural 480 205361 0 100 0
NWSn natural 490 203828 0 100 0
NWSn natural 500 771924 0 100 0
NWSn natural 510 278060 0 100 0
NWSn natural 520 297821 0 100 0
NWSn natural 530 363995 0 100 0
NWSn natural 540 389481 0 100 0
NWSn natural 550 463936 0 100 0
NWSn natural 560 513616 0 100 0
NWSn natural 570 577333 0 100 0
NWSn natural 580 696852 0 100 0
NWSn natural 590 661508 0 100 0
NWSn natural 600 2217050 0 100 0
NWSn natural 610 744257 0 100 0
NWSn natural 620 771616 0 100 0
NWSn natural 630 905479 0 100 0
NWSn natural 640 932951 0 100 0
NWSn natural 650 1073235 0 100 0
NWSn natural 660 1137002 0 100 0
NWSn natural 670 1231917 0 100 0
NWSn natural 680 1418264 0 100 0
NWSn natural 690 1300625 0 100 0
NWSn natural 700 4025140 0 100 0
NWSn natural 710 1256934 0 100 0
NWSn natural 720 1271665 0 100 0
NWSn natural 730 1445386 0 100 0
NWSn natural 740 1449265 0 100 0
NWSn natural 750 1617832 0 100 0
NWSn natural 760 1664699 0 100 0
NWSn natural 770 1757869 0 100 0
NWSn natural 780 1950548 0 100 0
NWSn natural 790 1732690 0 100 0
NWSn natural 800 5129203 0 100 0
NWSn natural 810 1476836 0 100 0
NWSn natural 820 1471964 0 100 0
NWSn natural 830 1633660 0 100 0
NWSn natural 840 1606291 0 100 0
NWSn natural 850 1749583 0 100 0
NWSn natural 860 1761265 0 100 0
NWSn natural 870 1812476 0 100 0
NWSn natural 880 1970697 0 100 0
NWSn natural 890 1696103 0 100 0
NWSn natural 900 4934332 0 100 0
NWSn natural 910 1307820 0 100 0
NWSn natural 920 1285309 0 100 0
NWSn natural 930 1401622 0 100 0
NWSn natural 940 1359586 0 100 0
NWSn natural 950 1451408 0 100 0
NWSn natural 960 1440391 0 100 0
NWSn natural 970 1451858 0 100 0
NWSn natural 980 1555082 0 100 0
NWSn natural 990 1301740 0 100 0
NWSn natural 1000 3806583 0 100 0
NWSn natural 1010 919470 0 100 0
NWSn natural 1020 897986 0 100 0
NWSn natural 1030 963250 0 100 0
NWSn natural 1040 925217 0 100 0
NWSn natural 1050 974271 0 100 0
NWSn natural 1060 957356 0 100 0
NWSn natural 1070 947542 0 100 0
NWSn natural 1080 1009819 0 100 0
NWSn natural 1090 822032 0 100 0
