alignment model score count replica lf domain
NWSn A_model 1590 7477 0 100 0
NWSn A_model 1600 35616 0 100 0
NWSn A_model 1610 3313 0 100 0
NWSn A_model 1620 2989 0 100 0
NWSn A_model 1630 3196 0 100 0
NWSn A_model 1640 3107 0 100 0
NWSn A_model 1650 3203 0 100 0
NWSn A_model 1660 3277 0 100 0
NWSn A_model 1670 2797 0 100 0
NWSn A_model 1680 3267 0 100 0
NWSn A_model 1690 2181 0 100 0
NWSn A_model 1700 11386 0 100 0
NWSn A_model 1710 820 0 100 0
NWSn A_model 1720 844 0 100 0
NWSn A_model 1730 888 0 100 0
NWSn A_model 1740 838 0 100 0
NWSn A_model 1750 856 0 100 0
NWSn A_model 1760 866 0 100 0
NWSn A_model 1770 786 0 100 0
NWSn A_model 1780 876 0 100 0
NWSn A_model 1790 599 0 100 0
NWSn A_model 1800 3396 0 100 0
NWSn A_model 1810 179 0 100 0
NWSn A_model 1820 188 0 100 0
NWSn A_model 1830 205 0 100 0
NWSn A_model 1840 201 0 100 0
NWSn A_model 1850 210 0 100 0
NWSn A_model 1860 210 0 100 0
NWSn A_model 1870 176 0 100 0
NWSn A_model 1880 229 0 100 0
NWSn A_model 1890 138 0 100 0
NWSn A_model 1900 987 0 100 0
NWSn A_model 1910 42 0 100 0
NWSn A_model 1920 61 0 100 0
NWSn A_model 1930 58 0 100 0
NWSn A_model 1940 40 0 100 0
NWSn A_model 1950 50 0 100 0
NWSn A_model 1960 51 0 100 0
NWSn A_model 1970 29 0 100 0
NWSn A_model 1980 53 0 100 0
NWSn A_model 1990 33 0 100 0
NWSn A_model 2000 266 0 100 0
NWSn A_model 2010 8 0 100 0
NWSn A_model 2020 11 0 100 0
NWSn A_model 2030 8 0 100 0
NWSn A_model 2040 5 0 100 0
NWSn A_model 2050 12 0 100 0
NWSn A_model 2060 12 0 100 0
NWSn A_model 2070 7 0 100 0
NWSn A_model 2080 14 0 100 0
NWSn A_model 2090 2 0 100 0
NWSn A_model 2100 71 0 100 0
NWSn A_model 2110 1 0 100 0
NWSn A_model 2130 2 0 100 0
NWSn A_model 2140 6 0 100 0
NWSn A_model 2150 3 0 100 0
NWSn A_model 2160 3 0 100 0
NWSn A_model 2170 2 0 100 0
NWSn A_model 2180 5 0 100 0
NWSn A_model 2190 1 0 100 0
NWSn A_model 2200 17 0 100 0
NWSn A_model 2210 1 0 100 0
NWSn A_model 2280 2 0 100 0
NWSn A_model 2300 4 0 100 0
NWMn natural 0 472 0 100 0
NWMn natural 10 88 0 100 0
NWMn natural 20 170 0 100 0
NWMn natural 30 108 0 100 0
NWMn natural 40 283 0 100 0
NWMn natural 50 199 0 100 0
NWMn natural 60 483 0 100 0
NWMn natural 70 285 0 100 0
NWMn natural 80 933 0 100 0
NWMn natural 90 466 0 100 0
NWMn natural 100 24157 0 100 0
NWMn natural 110 3580 0 100 0
NWMn natural 120 6065 0 100 0
NWMn natural 130 4803 0 100 0
NWMn natural 140 9348 0 100 0
NWMn natural 150 6448 0 100 0
NWMn natural 160 14129 0 100 0
NWMn natural 170 8663 0 100 0
NWMn natural 180 22376 0 100 0
NWMn natural 190 11160 0 100 0
NWMn natural 200 319696 0 100 0
NWMn natural 210 39433 0 100 0
NWMn natural 220 60330 0 100 0
NWMn natural 230 49470 0 100 0
NWMn natural 240 80962 0 100 0
NWMn natural 250 58875 0 100 0
NWMn natural 260 112666 0 100 0
NWMn natural 270 70093 0 100 0
NWMn natural 280 159376 0 100 0
NWMn natural 290 79429 0 100 0
NWMn natural 300 1735101 0 100 0
NWMn natural 310 175670 0 100 0
NWMn natural 320 244309 0 100 0
NWMn natural 330 202877 0 100 0
NWMn natural 340 303350 0 100 0
NWMn natural 350 226619 0 100 0
NWMn natural 360 393401 0 100 0
NWMn natural 370 247813 0 100 0
NWMn natural 380 518862 0 100 0
NWMn natural 390 253452 0 100 0
NWMn natural 400 5022631 0 100 0
NWMn natural 410 406181 0 100 0
NWMn natural 420 534128 0 100 0
NWMn natural 430 444449 0 100 0
NWMn natural 440 636732 0 100 0
NWMn natural 450 470215 0 100 0
NWMn natural 460 783747 0 100 0
NWMn natural 470 485543 0 100 0
NWMn natural 480 985424 0 100 0
NWMn natural 490 460426 0 100 0
NWMn natural 500 9188961 0 100 0
NWMn natural 510 581981 0 100 0
NWMn natural 520 752705 0 100 0
NWMn natural 530 616640 0 100 0
NWMn natural 540 869896 0 100 0
NWMn natural 550 628591 0 100 0
NWMn natural 560 1039518 0 100 0
NWMn natural 570 620390 0 100 0
NWMn natural 580 1264991 0 100 0
NWMn natural 590 558259 0 100 0
NWMn natural 600 11996223 0 100 0
NWMn natural 610 585121 0 100 0
NWMn natural 620 761472 0 100 0
NWMn natural 630 609092 0 100 0
NWMn natural 640 862134 0 100 0
NWMn natural 650 601710 0 100 0
NWMn natural 660 1011410 0 100 0
NWMn natural 670 577118 0 100 0
NWMn natural 680 1208948 0 100 0
NWMn natural 690 498413 0 100 0
NWMn natural 700 12139710 0 100 0
NWMn natural 710 450283 0 100 0
NWMn natural 720 596359 0 100 0
NWMn natural 730 460406 0 100 0
NWMn natural 740 668989 0 100 0
NWMn natural 750 448750 0 100 0
NWMn natural 760 777322 0 100 0
NWMn natural 770 420411 0 100 0
NWMn natural 780 918787 0 100 0
NWMn natural 790 351338 0 100 0
NWMn natural 800 10060906 0 100 0
NWMn natural 810 278751 0 100 0
NWMn natural 820 382645 0 100 0
NWMn natural 830 283230 0 100 0
NWMn natural 840 428050 0 100 0
NWMn natural 850 272030 0 100 0
NWMn natural 860 494177 0 100 0
NWMn natural 870 251720 0 100 0
NWMn natural 880 582198 0 100 0
NWMn natural 890 204739 0 100 0
NWMn natural 900 7097082 0 100 0
NWMn natural 910 145262 0 100 0
NWMn natural 920 208195 0 100 0
NWMn natural 930 147067 0 100 0
NWMn natural 940 232491 0 100 0
NWMn natural 950 140872 0 100 0
NWMn natural 960 270231 0 100 0
NWMn natural 970 129158 0 100 0
NWMn natural 980 318502 0 100 0
NWMn natural 990 102270 0 100 0
NWMn natural 1000 4383875 0 100 0
NWMn natural 1010 65529 0 100 0
NWMn natural 1020 98787 0 100 0
NWMn natural 1030 66242 0 100 0
NWMn natural 1040 110956 0 100 0
NWMn natural 1050 63570 0 100 0
NWMn natural 1060 129343 0 100 0
NWMn natural 1070 58060 0 100 0
NWMn natural 1080 152825 0 100 0
NWMn natural 1090 45406 0 100 0
NWMn natural 1100 2409630 0 100 0
NWMn natural 1110 26489 0 100 0
NWMn natural 1120 42255 0 100 0
NWMn natural 1130 26583 0 100 0
NWMn natural 1140 47380 0 100 0
NWMn natural 1150 25775 0 100 0
NWMn natural 1160 55766 0 100 0
NWMn natural 1170 23008 0 100 0
NWMn natural 1180 66050 0 100 0
NWMn natural 1190 17917 0 100 0
NWMn natural 1200 1200387 0 100 0
NWMn natural 1210 9611 0 100 0
NWMn natural 1220 16154 0 100 0
NWMn natural 1230 9754 0 100 0
NWMn natural 1240 18220 0 100 0
NWMn natural 1250 9362 0 100 0
NWMn natural 1260 21704 0 100 0
NWMn natural 1270 8426 0 100 0
NWMn natural 1280 26035 0 100 0
NWMn natural 1290 6611 0 100 0
NWMn natural 1300 547466 0 100 0
NWMn natural 1310 3196 0 100 0
NWMn natural 1320 5618 0 100 0
NWMn natural 1330 3234 0 100 0
NWMn natural 1340 6425 0 100 0
NWMn natural 1350 3188 0 100 0
NWMn natural 1360 7888 0 100 0
NWMn natural 1370 2814 0 100 0
NWMn natural 1380 9488 0 100 0
NWMn natural 1390 2217 0 100 0
NWMn natural 1400 229989 0 100 0
NWMn natural 1410 1033 0 100 0
NWMn natural 1420 1851 0 100 0
NWMn natural 1430 1089 0 100 0
NWMn natural 1440 2265 0 100 0
NWMn natural 1450 988 0 100 0
NWMn natural 1460 2707 0 100 0
NWMn natural 1470 965 0 100 0
NWMn natural 1480 3217 0 100 0
NWMn natural 1490 713 0 100 0
NWMn natural 1500 89472 0 100 0
NWMn natural 1510 329 0 100 0
NWMn natural 1520 624 0 100 0
NWMn natural 1530 363 0 100 0
NWMn natural 1540 742 0 100 0
NWMn natural 1550 351 0 100 0
NWMn natural 1560 885 0 100 0
NWMn natural 1570 342 0 100 0
NWMn natural 1580 1067 0 100 0
NWMn natural 1590 255 0 100 0
NWMn natural 1600 32528 0 100 0
NWMn natural 1610 127 0 100 0
NWMn natural 1620 243 0 100 0
NWMn natural 1630 129 0 100 0
NWMn natural 1640 254 0 100 0
NWMn natural 1650 149 0 100 0
NWMn natural 1660 297 0 100 0
NWMn natural 1670 127 0 100 0
NWMn natural 1680 359 0 100 0
NWMn natural 1690 131 0 100 0
NWMn natural 1700 11179 0 100 0
NWMn natural 1710 92 0 100 0
NWMn natural 1720 101 0 100 0
NWMn natural 1730 86 0 100 0
NWMn natural 1740 119 0 100 0
NWMn natural 1750 67 0 100 0
NWMn natural 1760 129 0 100 0
NWMn natural 1770 92 0 100 0
NWMn natural 1780 148 0 100 0
NWMn natural 1790 87 0 100 0
NWMn natural 1800 3765 0 100 0
NWMn natural 1810 48 0 100 0
NWMn natural 1820 69 0 100 0
NWMn natural 1830 45 0 100 0
NWMn natural 1840 81 0 100 0
NWMn natural 1850 61 0 100 0
NWMn natural 1860 98 0 100 0
NWMn natural 1870 62 0 100 0
NWMn natural 1880 84 0 100 0
NWMn natural 1890 47 0 100 0
NWMn natural 1900 1168 0 100 0
NWMn natural 1910 40 0 100 0
NWMn natural 1920 49 0 100 0
NWMn natural 1930 42 0 100 0
NWMn natural 1940 57 0 100 0
NWMn natural 1950 54 0 100 0
NWMn natural 1960 76 0 100 0
NWMn natural 1970 36 0 100 0
NWMn natural 1980 61 0 100 0
NWMn natural 1990 39 0 100 0
NWMn natural 2000 375 0 100 0
NWMn natural 2010 36 0 100 0
NWMn natural 2020 54 0 100 0
NWMn natural 2030 33 0 100 0
NWMn natural 2040 38 0 100 0
NWMn natural 2050 33 0 100 0
NWMn natural 2060 43 0 100 0
NWMn natural 2070 32 0 100 0
NWMn natural 2080 45 0 100 0
NWMn natural 2090 34 0 100 0
NWMn natural 2100 131 0 100 0
NWMn natural 2110 34 0 100 0
NWMn natural 2120 41 0 100 0
NWMn natural 2130 39 0 100 0
NWMn natural 2140 46 0 100 0
NWMn natural 2150 31 0 100 0
NWMn natural 2160 39 0 100 0
NWMn natural 2170 27 0 100 0
NWMn natural 2180 50 0 100 0
NWMn natural 2190 22 0 100 0
NWMn natural 2200 76 0 100 0
NWMn natural 2210 35 0 100 0
NWMn natural 2220 33 0 100 0
NWMn natural 2230 26 0 100 0
NWMn natural 2240 27 0 100 0
NWMn natural 2250 20 0 100 0
NWMn natural 2260 24 0 100 0
NWMn natural 2270 37 0 100 0
NWMn natural 2280 28 0 100 0
NWMn natural 2290 22 0 100 0
NWMn natural 2300 53 0 100 0
NWMn natural 2310 20 0 100 0
NWMn natural 2320 42 0 100 0
NWMn natural 2330 28 0 100 0
NWMn natural 2340 40 0 100 0
NWMn natural 2350 14 0 100 0
NWMn natural 2360 28 0 100 0
NWMn natural 2370 20 0 100 0
NWMn natural 2380 26 0 100 0
NWMn natural 2390 32 0 100 0
NWMn natural 2400 44 0 100 0
NWMn natural 2410 12 0 100 0
NWMn natural 2420 34 0 100 0
NWMn natural 2430 12 0 100 0
NWMn natural 2440 16 0 100 0
NWMn natural 2450 25 0 100 0
NWMn natural 2460 37 0 100 0
NWMn natural 2470 20 0 100 0
NWMn natural 2480 29 0 100 0
NWMn natural 2490 17 0 100 0
NWMn natural 2500 32 0 100 0
NWMn natural 2510 15 0 100 0
NWMn natural 2520 19 0 100 0
NWMn natural 2530 16 0 100 0
NWMn natural 2540 21 0 100 0
NWMn natural 2550 20 0 100 0
NWMn natural 2560 17 0 100 0
NWMn natural 2570 21 0 100 0
NWMn natural 2580 21 0 100 0
NWMn natural 2590 13 0 100 0
NWMn natural 2600 24 0 100 0
NWMn natural 2610 11 0 100 0
NWMn natural 2620 29 0 100 0
NWMn natural 2630 17 0 100 0
NWMn natural 2640 25 0 100 0
NWMn natural 2650 11 0 100 0
NWMn natural 2660 31 0 100 0
NWMn natural 2670 14 0 100 0
NWMn natural 2680 28 0 100 0
NWMn natural 2690 15 0 100 0
NWMn natural 2700 36 0 100 0
NWMn natural 2710 11 0 100 0
NWMn natural 2720 16 0 100 0
NWMn natural 2730 6 0 100 0
NWMn natural 2740 19 0 100 0
NWMn natural 2750 9 0 100 0
NWMn natural 2760 15 0 100 0
NWMn natural 2770 12 0 100 0
NWMn natural 2780 22 0 100 0
NWMn natural 2790 8 0 100 0
NWMn natural 2800 13 0 100 0
NWMn natural 2810 8 0 100 0
NWMn natural 2820 11 0 100 0
NWMn natural 2830 8 0 100 0
NWMn natural 2840 21 0 100 0
NWMn natural 2850 13 0 100 0
NWMn natural 2860 16 0 100 0
NWMn natural 2870 14 0 100 0
NWMn natural 2880 17 0 100 0
NWMn natural 2890 8 0 100 0
NWMn natural 2900 18 0 100 0
NWMn natural 2910 11 0 100 0
NWMn natural 2920 16 0 100 0
NWMn natural 2930 7 0 100 0
NWMn natural 2940 14 0 100 0
NWMn natural 2950 7 0 100 0
NWMn natural 2960 19 0 100 0
NWMn natural 2970 6 0 100 0
NWMn natural 2980 18 0 100 0
NWMn natural 2990 12 0 100 0
NWMn natural 3000 22 0 100 0
NWMn natural 3010 2 0 100 0
NWMn natural 3020 12 0 100 0
NWMn natural 3030 5 0 100 0
NWMn natural 3040 17 0 100 0
NWMn natural 3050 10 0 100 0
NWMn natural 3060 18 0 100 0
NWMn natural 3070 4 0 100 0
NWMn natural 3080 17 0 100 0
NWMn natural 3090 6 0 100 0
NWMn natural 3100 21 0 100 0
NWMn natural 3110 5 0 100 0
NWMn natural 3120 8 0 100 0
NWMn natural 3130 12 0 100 0
NWMn natural 3140 13 0 100 0
NWMn natural 3150 6 0 100 0
NWMn natural 3160 8 0 100 0
NWMn natural 3170 8 0 100 0
NWMn natural 3180 20 0 100 0
NWMn natural 3190 9 0 100 0
NWMn natural 3200 21 0 100 0
NWMn natural 3210 5 0 100 0
NWMn natural 3220 12 0 100 0
NWMn natural 3230 6 0 100 0
NWMn natural 3240 12 0 100 0
NWMn natural 3250 7 0 100 0
NWMn natural 3260 10 0 100 0
NWMn natural 3270 2 0 100 0
NWMn natural 3280 20 0 100 0
NWMn natural 3290 3 0 100 0
NWMn natural 3300 21 0 100 0
NWMn natural 3310 3 0 100 0
NWMn natural 3320 12 0 100 0
NWMn natural 3330 3 0 100 0
NWMn natural 3340 19 0 100 0
NWMn natural 3350 4 0 100 0
NWMn natural 3360 7 0 100 0
NWMn natural 3370 4 0 100 0
NWMn natural 3380 14 0 100 0
NWMn natural 3390 7 0 100 0
NWMn natural 3400 14 0 100 0
NWMn natural 3410 2 0 100 0
NWMn natural 3420 8 0 100 0
NWMn natural 3430 2 0 100 0
NWMn natural 3440 8 0 100 0
NWMn natural 3450 2 0 100 0
NWMn natural 3460 9 0 100 0
NWMn natural 3470 6 0 100 0
NWMn natural 3480 9 0 100 0
NWMn natural 3490 6 0 100 0
NWMn natural 3500 16 0 100 0
NWMn natural 3510 3 0 100 0
NWMn natural 3520 8 0 100 0
NWMn natural 3530 1 0 100 0
NWMn natural 3540 9 0 100 0
NWMn natural 3550 4 0 100 0
NWMn natural 3560 9 0 100 0
NWMn natural 3570 4 0 100 0
NWMn natural 3580 9 0 100 0
NWMn natural 3590 5 0 100 0
NWMn natural 3600 12 0 100 0
NWMn natural 3610 3 0 100 0
NWMn natural 3620 6 0 100 0
NWMn natural 3630 2 0 100 0
NWMn natural 3640 9 0 100 0
NWMn natural 3650 5 0 100 0
NWMn natural 3660 10 0 100 0
NWMn natural 3670 1 0 100 0
NWMn natural 3680 9 0 100 0
NWMn natural 3690 4 0 100 0
NWMn natural 3700 6 0 100 0
NWMn natural 3710 5 0 100 0
NWMn natural 3720 11 0 100 0
NWMn natural 3730 2 0 100 0
NWMn natural 3740 3 0 100 0
NWMn natural 3750 2 0 100 0
NWMn natural 3760 6 0 100 0
NWMn natural 3770 2 0 100 0
NWMn natural 3780 11 0 100 0
NWMn natural 3800 12 0 100 0
NWMn natural 3810 4 0 100 0
NWMn natural 3820 10 0 100 0
NWMn natural 3830 2 0 100 0
NWMn natural 3840 6 0 100 0
NWMn natural 3850 7 0 100 0
NWMn natural 3860 5 0 100 0
NWMn natural 3870 1 0 100 0
NWMn natural 3880 6 0 100 0
NWMn natural 3890 1 0 100 0
NWMn natural 3900 12 0 100 0
NWMn natural 3910 1 0 100 0
NWMn natural 3920 5 0 100 0
NWMn natural 3930 1 0 100 0
NWMn natural 3940 6 0 100 0
NWMn natural 3950 6 0 100 0
NWMn natural 3960 11 0 100 0
NWMn natural 3970 7 0 100 0
NWMn natural 3980 9 0 100 0
NWMn natural 3990 2 0 100 0
NWMn natural 4000 12 0 100 0
NWMn natural 4010 3 0 100 0
NWMn natural 4020 8 0 100 0
NWMn natural 4040 5 0 100 0
NWMn natural 4050 1 0 100 0
NWMn natural 4060 8 0 100 0
NWMn natural 4070 1 0 100 0
NWMn natural 4080 6 0 100 0
NWMn natural 4090 1 0 100 0
NWMn natural 4100 9 0 100 0
NWMn natural 4110 1 0 100 0
NWMn natural 4120 5 0 100 0
NWMn natural 4130 1 0 100 0
NWMn natural 4140 2 0 100 0
NWMn natural 4150 2 0 100 0
NWMn natural 4160 4 0 100 0
NWMn natural 4170 2 0 100 0
NWMn natural 4180 5 0 100 0
NWMn natural 4190 2 0 100 0
NWMn natural 4200 6 0 100 0
NWMn natural 4220 9 0 100 0
NWMn natural 4230 2 0 100 0
NWMn natural 4240 4 0 100 0
NWMn natural 4260 7 0 100 0
NWMn natural 4270 2 0 100 0
NWMn natural 4280 5 0 100 0
NWMn natural 4290 2 0 100 0
NWMn natural 4300 10 0 100 0
NWMn natural 4320 5 0 100 0
NWMn natural 4340 6 0 100 0
NWMn natural 4350 1 0 100 0
NWMn natural 4360 5 0 100 0
NWMn natural 4370 2 0 100 0
NWMn natural 4380 4 0 100 0
NWMn natural 4390 1 0 100 0
NWMn natural 4400 5 0 100 0
NWMn natural 4410 1 0 100 0
NWMn natural 4420 5 0 100 0
NWMn natural 4430 1 0 100 0
NWMn natural 4440 4 0 100 0
NWMn natural 4450 1 0 100 0
NWMn natural 4460 4 0 100 0
NWMn natural 4480 2 0 100 0
NWMn natural 4490 3 0 100 0
NWMn natural 4500 5 0 100 0
NWMn natural 4510 1 0 100 0
NWMn natural 4520 4 0 100 0
NWMn natural 4530 1 0 100 0
NWMn natural 4540 2 0 100 0
NWMn natural 4550 1 0 100 0
NWMn natural 4560 7 0 100 0
NWMn natural 4580 3 0 100 0
NWMn natural 4590 4 0 100 0
NWMn natural 4600 6 0 100 0
NWMn natural 4610 1 0 100 0
NWMn natural 4620 5 0 100 0
NWMn natural 4630 2 0 100 0
NWMn natural 4640 5 0 100 0
NWMn natural 4650 2 0 100 0
NWMn natural 4660 7 0 100 0
NWMn natural 4680 4 0 100 0
NWMn natural 4690 2 0 100 0
NWMn natural 4700 5 0 100 0
NWMn natural 4710 1 0 100 0
NWMn natural 4720 4 0 100 0
NWMn natural 4740 4 0 100 0
NWMn natural 4760 3 0 100 0
NWMn natural 4770 2 0 100 0
NWMn natural 4780 1 0 100 0
NWMn natural 4800 4 0 100 0
NWMn natural 4810 2 0 100 0
NWMn natural 4820 10 0 100 0
NWMn natural 4840 2 0 100 0
NWMn natural 4860 6 0 100 0
NWMn natural 4880 8 0 100 0
NWMn natural 4890 1 0 100 0
NWMn natural 4900 4 0 100 0
NWMn natural 4910 1 0 100 0
NWMn natural 4920 2 0 100 0
NWMn natural 4940 3 0 100 0
NWMn natural 4960 4 0 100 0
NWMn natural 4980 2 0 100 0
NWMn natural 5000 3 0 100 0
NWMn natural 5010 1 0 100 0
NWMn natural 5040 5 0 100 0
NWMn natural 5050 1 0 100 0
NWMn natural 5060 4 0 100 0
NWMn natural 5080 3 0 100 0
NWMn natural 5090 2 0 100 0
NWMn natural 5100 5 0 100 0
NWMn natural 5120 1 0 100 0
NWMn natural 5150 1 0 100 0
NWMn natural 5180 3 0 100 0
NWMn natural 5200 1 0 100 0
NWMn natural 5210 2 0 100 0
NWMn natural 5220 3 0 100 0
NWMn natural 5240 1 0 100 0
NWMn natural 5260 3 0 100 0
NWMn natural 5280 2 0 100 0
NWMn natural 5300 2 0 100 0
NWMn natural 5320 3 0 100 0
NWMn natural 5340 2 0 100 0
NWMn natural 5360 2 0 100 0
NWMn natural 5370 2 0 100 0
NWMn natural 5380 4 0 100 0
NWMn natural 5390 2 0 100 0
NWMn natural 5400 3 0 100 0
NWMn natural 5420 1 0 100 0
NWMn natural 5430 1 0 100 0
NWMn natural 5440 4 0 100 0
NWMn natural 5490 1 0 100 0
NWMn natural 5500 5 0 100 0
NWMn natural 5520 2 0 100 0
NWMn natural 5540 4 0 100 0
NWMn natural 5580 2 0 100 0
NWMn natural 5600 3 0 100 0
NWMn natural 5620 1 0 100 0
NWMn natural 5640 2 0 100 0
NWMn natural 5660 2 0 100 0
NWMn natural 5700 1 0 100 0
NWMn natural 5720 2 0 100 0
NWMn natural 5740 2 0 100 0
NWMn natural 5760 2 0 100 0
NWMn natural 5780 1 0 100 0
NWMn natural 5800 1 0 100 0
NWMn natural 5840 1 0 100 0
NWMn natural 5860 3 0 100 0
NWMn natural 5880 1 0 100 0
NWMn natural 5900 1 0 100 0
NWMn natural 5960 3 0 100 0
NWMn natural 5980 1 0 100 0
NWMn natural 6020 1 0 100 0
NWMn natural 6060 1 0 100 0
NWMn natural 6070 1 0 100 0
NWMn natural 6100 3 0 100 0
NWMn natural 6160 1 0 100 0
NWMn natural 6180 1 0 100 0
NWMn natural 6200 3 0 100 0
NWMn natural 6260 2 0 100 0
NWMn natural 6280 2 0 100 0
NWMn natural 6400 1 0 100 0
NWMn natural 6420 1 0 100 0
NWMn natural 6440 1 0 100 0
NWMn natural 6500 2 0 100 0
NWMn natural 6600 1 0 100 0
NWMn natural 6620 1 0 100 0
NWMn natural 6680 1 0 100 0
NWMn natural 6780 1 0 100 0
NWMn natural 6800 2 0 100 0
NWMn natural 6820 2 0 100 0
NWMn natural 6840 1 0 100 0
NWMn natural 6860 1 0 100 0
NWMn natural 6940 1 0 100 0
NWMn natural 6960 2 0 100 0
NWMn natural 6980 1 0 100 0
NWMn natural 7000 1 0 100 0
NWMn natural 7060 1 0 100 0
NWMn natural 7120 1 0 100 0
NWMn natural 7220 1 0 100 0
NWMn natural 7400 1 0 100 0
NWMn natural 7580 1 0 100 0
NWMn natural 7620 1 0 100 0
NWMn natural 7700 1 0 100 0
NWMn natural 8200 1 0 100 0
NWMn natural 8300 1 0 100 0
NWMn natural 8380 1 0 100 0
NWMn natural 8700 1 0 100 0
NWMn G_model 0 166 0 100 0
NWMn G_model 10 48 0 100 0
NWMn G_model 20 95 0 100 0
NWMn G_model 30 64 0 100 0
NWMn G_model 40 163 0 100 0
NWMn G_model 50 113 0 100 0
NWMn G_model 60 288 0 100 0
NWMn G_model 70 186 0 100 0
NWMn G_model 80 607 0 100 0
NWMn G_model 90 327 0 100 0
NWMn G_model 100 14942 0 100 0
NWMn G_model 110 2564 0 100 0
NWMn G_model 120 4527 0 100 0
NWMn G_model 130 3783 0 100 0
NWMn G_model 140 6980 0 100 0
NWMn G_model 150 5152 0 100 0
NWMn G_model 160 11215 0 100 0
NWMn G_model 170 7209 0 100 0
NWMn G_model 180 17979 0 100 0
NWMn G_model 190 9568 0 100 0
NWMn G_model 200 251635 0 100 0
NWMn G_model 210 34667 0 100 0
NWMn G_model 220 53053 0 100 0
NWMn G_model 230 44103 0 100 0
NWMn G_model 240 72684 0 100 0
NWMn G_model 250 54820 0 100 0
NWMn G_model 260 101875 0 100 0
NWMn G_model 270 66004 0 100 0
NWMn G_model 280 146759 0 100 0
NWMn G_model 290 75961 0 100 0
NWMn G_model 300 1554029 0 100 0
NWMn G_model 310 171082 0 100 0
NWMn G_model 320 235167 0 100 0
NWMn G_model 330 197673 0 100 0
NWMn G_model 340 299196 0 100 0
NWMn G_model 350 224666 0 100 0
NWMn G_model 360 389460 0 100 0
NWMn G_model 370 246503 0 100 0
NWMn G_model 380 509072 0 100 0
NWMn G_model 390 255164 0 100 0
NWMn G_model 400 4806812 0 100 0
NWMn G_model 410 412200 0 100 0
NWMn G_model 420 538999 0 100 0
NWMn G_model 430 450524 0 100 0
NWMn G_model 440 654108 0 100 0
NWMn G_model 450 482411 0 100 0
NWMn G_model 460 801875 0 100 0
NWMn G_model 470 495769 0 100 0
NWMn G_model 480 997911 0 100 0
NWMn G_model 490 473383 0 100 0
NWMn G_model 500 9118876 0 100 0
NWMn G_model 510 596809 0 100 0
NWMn G_model 520 768370 0 100 0
NWMn G_model 530 633031 0 100 0
NWMn G_model 540 905008 0 100 0
NWMn G_model 550 649964 0 100 0
NWMn G_model 560 1076199 0 100 0
NWMn G_model 570 636459 0 100 0
NWMn G_model 580 1288968 0 100 0
NWMn G_model 590 570868 0 100 0
NWMn G_model 600 12123854 0 100 0
NWMn G_model 610 596918 0 100 0
NWMn G_model 620 775910 0 100 0
NWMn G_model 630 615612 0 100 0
NWMn G_model 640 894050 0 100 0
NWMn G_model 650 617485 0 100 0
NWMn G_model 660 1040371 0 100 0
NWMn G_model 670 585172 0 100 0
NWMn G_model 680 1227209 0 100 0
NWMn G_model 690 500473 0 100 0
NWMn G_model 700 12352359 0 100 0
NWMn G_model 710 448923 0 100 0
NWMn G_model 720 598873 0 100 0
NWMn G_model 730 458174 0 100 0
NWMn G_model 740 685720 0 100 0
NWMn G_model 750 449081 0 100 0
NWMn G_model 760 789684 0 100 0
NWMn G_model 770 416854 0 100 0
NWMn G_model 780 919677 0 100 0
NWMn G_model 790 343277 0 100 0
NWMn G_model 800 10233415 0 100 0
NWMn G_model 810 269560 0 100 0
NWMn G_model 820 375046 0 100 0
NWMn G_model 830 272913 0 100 0
NWMn G_model 840 427922 0 100 0
NWMn G_model 850 265209 0 100 0
NWMn G_model 860 492944 0 100 0
NWMn G_model 870 240804 0 100 0
NWMn G_model 880 570959 0 100 0
NWMn G_model 890 192885 0 100 0
NWMn G_model 900 7189522 0 100 0
NWMn G_model 910 135180 0 100 0
NWMn G_model 920 198235 0 100 0
NWMn G_model 930 136995 0 100 0
NWMn G_model 940 227784 0 100 0
NWMn G_model 950 131572 0 100 0
NWMn G_model 960 261687 0 100 0
NWMn G_model 970 118446 0 100 0
NWMn G_model 980 303099 0 100 0
NWMn G_model 990 92616 0 100 0
NWMn G_model 1000 4400871 0 100 0
NWMn G_model 1010 58135 0 100 0
NWMn G_model 1020 91341 0 100 0
NWMn G_model 1030 58731 0 100 0
NWMn G_model 1040 105470 0 100 0
NWMn G_model 1050 56700 0 100 0
NWMn G_model 1060 120785 0 100 0
NWMn G_model 1070 50324 0 100 0
NWMn G_model 1080 141355 0 100 0
NWMn G_model 1090 38778 0 100 0
NWMn G_model 1100 2393327 0 100 0
NWMn G_model 1110 22025 0 100 0
NWMn G_model 1120 36936 0 100 0
NWMn G_model 1130 22313 0 100 0
NWMn G_model 1140 42706 0 100 0
NWMn G_model 1150 21454 0 100 0
NWMn G_model 1160 50096 0 100 0
NWMn G_model 1170 19108 0 100 0
NWMn G_model 1180 59168 0 100 0
NWMn G_model 1190 14395 0 100 0
NWMn G_model 1200 1174745 0 100 0
NWMn G_model 1210 7582 0 100 0
NWMn G_model 1220 13643 0 100 0
NWMn G_model 1230 7646 0 100 0
NWMn G_model 1240 15992 0 100 0
NWMn G_model 1250 7292 0 100 0
NWMn G_model 1260 18767 0 100 0
NWMn G_model 1270 6474 0 100 0
NWMn G_model 1280 21938 0 100 0
NWMn G_model 1290 4925 0 100 0
